angle, x, y
  0, 3455,   32
 42, 3944, 1099
 72, 3686, 1784
 90, 3473, 2172
255, 4076, 3455
  0, 3455,   32
  1, 3455,   32
  2, 3582,   91
  3, 3582,   91
  4, 3582,  145
  5, 3582,  145
  6, 3582,  145
  7, 3579,  201
  8, 3579,  201
  9, 3579,  201
 10, 3577,  255
 11, 3577,  255
 12, 4078,  347
 13, 4078,  347
 14, 4074,  409
 15, 4074,  409
 16, 4074,  409
 17, 4067,  473
 18, 4067,  473
 19, 4067,  473
 20, 4061,  535
 21, 4061,  535
 22, 4050,  599
 23, 4050,  599
 24, 4042,  661
 25, 4042,  661
 26, 4042,  661
 27, 4031,  725
 28, 4031,  725
 29, 4031,  725
 30, 4021,  787
 31, 4021,  787
 32, 4004,  851
 33, 4004,  851
 34, 3992,  913
 35, 3992,  913
 36, 3992,  913
 37, 3977,  975
 38, 3977,  975
 39, 3977,  975
 40, 3963, 1037
 41, 3963, 1037
 42, 3944, 1099
 43, 3944, 1099
 44, 3928, 1159
 45, 3928, 1159
 46, 3928, 1159
 47, 3909, 1221
 48, 3909, 1221
 49, 3909, 1221
 50, 3891, 1281
 51, 3891, 1281
 52, 3878, 1311
 53, 3878, 1311
 54, 3858, 1371
 55, 3858, 1371
 56, 3858, 1371
 57, 3837, 1432
 58, 3837, 1432
 59, 3837, 1432
 60, 3815, 1490
 61, 3815, 1490
 62, 3790, 1550
 63, 3790, 1550
 64, 3766, 1608
 65, 3766, 1608
 66, 3766, 1608
 67, 3741, 1666
 68, 3741, 1666
 69, 3741, 1666
 70, 3715, 1724
 71, 3715, 1724
 72, 3686, 1784
 73, 3686, 1784
 74, 3658, 1840
 75, 3658, 1840
 76, 3658, 1840
 77, 3629, 1896
 78, 3629, 1896
 79, 3629, 1896
 80, 3599, 1952
 81, 3599, 1952
 82, 3568, 2008
 83, 3568, 2008
 84, 3538, 2062
 85, 3538, 2062
 86, 3538, 2062
 87, 3505, 2118
 88, 3505, 2118
 89, 3505, 2118
 90, 3473, 2172
 91, 3473, 2172
 92, 3437, 2226
 93, 3437, 2226
 94, 3403, 2278
 95, 3403, 2278
 96, 3403, 2278
 97, 3366, 2330
 98, 3366, 2330
 99, 3366, 2330
100, 3330, 2382
101, 3330, 2382
102, 3292, 2435
103, 3292, 2435
104, 3254, 2485
105, 3254, 2485
106, 3254, 2485
107, 3215, 2536
108, 3215, 2536
109, 3215, 2536
110, 3175, 2584
111, 3175, 2584
112, 3134, 2634
113, 3134, 2634
114, 3094, 2682
115, 3094, 2682
116, 3094, 2682
117, 3051, 2731
118, 3051, 2731
119, 3051, 2731
120, 3009, 2777
121, 3009, 2777
122, 2965, 2825
123, 2965, 2825
124, 2921, 2869
125, 2921, 2869
126, 2921, 2869
127, 2869, 2921
128, 2869, 2921
129, 2869, 2921
130, 2825, 2965
131, 2825, 2965
132, 2777, 3009
133, 2777, 3009
134, 2731, 3051
135, 2731, 3051
136, 2731, 3051
137, 2682, 3094
138, 2682, 3094
139, 2682, 3094
140, 2634, 3134
141, 2634, 3134
142, 2584, 3175
143, 2584, 3175
144, 2536, 3215
145, 2536, 3215
146, 2536, 3215
147, 2485, 3254
148, 2485, 3254
149, 2485, 3254
150, 2435, 3292
151, 2435, 3292
152, 2382, 3330
153, 2382, 3330
154, 2330, 3366
155, 2330, 3366
156, 2330, 3366
157, 2278, 3403
158, 2278, 3403
159, 2278, 3403
160, 2226, 3437
161, 2226, 3437
162, 2172, 3473
163, 2172, 3473
164, 2118, 3505
165, 2118, 3505
166, 2118, 3505
167, 2062, 3538
168, 2062, 3538
169, 2062, 3538
170, 2008, 3568
171, 2008, 3568
172, 1952, 3599
173, 1952, 3599
174, 1896, 3629
175, 1896, 3629
176, 1896, 3629
177, 1840, 3658
178, 1840, 3658
179, 1840, 3658
180, 1784, 3686
181, 1784, 3686
182, 1724, 3715
183, 1724, 3715
184, 1666, 3741
185, 1666, 3741
186, 1666, 3741
187, 1608, 3766
188, 1608, 3766
189, 1608, 3766
190, 1550, 3790
191, 1550, 3790
192, 1490, 3815
193, 1490, 3815
194, 1432, 3837
195, 1432, 3837
196, 1432, 3837
197, 1371, 3858
198, 1371, 3858
199, 1371, 3858
200, 1311, 3878
201, 1311, 3878
202, 1281, 3891
203, 1281, 3891
204, 1221, 3909
205, 1221, 3909
206, 1221, 3909
207, 1159, 3928
208, 1159, 3928
209, 1159, 3928
210, 1099, 3944
211, 1099, 3944
212, 1037, 3963
213, 1037, 3963
214,  975, 3977
215,  975, 3977
216,  975, 3977
217,  913, 3992
218,  913, 3992
219,  913, 3992
220,  851, 4004
221,  851, 4004
222,  787, 4021
223,  787, 4021
224,  725, 4031
225,  725, 4031
226,  725, 4031
227,  661, 4042
228,  661, 4042
229,  661, 4042
230,  599, 4050
231,  599, 4050
232,  535, 4061
233,  535, 4061
234,  473, 4067
235,  473, 4067
236,  473, 4067
237,  409, 4074
238,  409, 4074
239,  409, 4074
240,  347, 4078
241,  347, 4078
242,  255, 3577
243,  255, 3577
244,  201, 3579
245,  201, 3579
246,  201, 3579
247,  145, 3582
248,  145, 3582
249,  145, 3582
250,   91, 3582
251,   91, 3582
252,   32, 3455
253,   32, 3455
254, 4076, 3455
255, 4076, 3455
